IL#,IL,ILCE#,ILCE,MAHALLE#,MAHALLE,CSBM#,CSBM,BINA#,BINA NO,BB#,BAGIMSIZ BOLUM,LNG,LAT
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,566149,AKDERE (Sokak),447708595,2 - Bina Dışı Yapı - Depo - Diğer Yapı Girişi,,,35.446456423,37.467930889231766
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,566149,AKDERE (Sokak),208737262,4 - Arsa,,,35.45530265100001,37.455728791999974
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,566149,AKDERE (Sokak),615301082,6 - Mesken - Bina Ana Giriş - Bilinmeyen,56731704,Kullanım Amacı : Mesken - Tip : Özel - Durum : Bilinmeyen,35.454735329000016,37.45601815300002
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,566149,AKDERE (Sokak),594893570,6/1 - Tarım ve Hayvancılık - Ahır - Diğer Yapı Girişi,,,35.454362221,37.456202358999974
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,566149,AKDERE (Sokak),115037335,8 - Mesken - Bina Ana Giriş - Bilinmeyen,557222,Kullanım Amacı : Mesken - Tip : Özel - Durum : Bilinmeyen,35.45459336800002,37.45628443499997
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,566149,AKDERE (Sokak),115037335,8 - Mesken - Bina Ana Giriş - Bilinmeyen,557222,Kullanım Amacı : Mesken - Tip : Özel - Durum : Bilinmeyen,35.446456423,37.467930889231766
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,566149,AKDERE (Sokak),440708030,8/1 - Tarım ve Hayvancılık - Samanlık - Diğer Yapı Girişi,,,35.45381873500003,37.456436868000026
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,566149,AKDERE (Sokak),584894562,8/2 - Tarım ve Hayvancılık - Ahır - Diğer Yapı Girişi,,,35.453285042000005,37.456535454999965
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,714256071,AKÖREN KÜME EVLERİ (Küme Evler),661899096,1 - Mesken - Bina Ana Giriş - Bilinmeyen,56536852,Kullanım Amacı : Mesken - Tip : Özel - Durum : Bilinmeyen,35.45336591900002,37.45666678800002
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,714256071,AKÖREN KÜME EVLERİ (Küme Evler),379464977,1A - Mesken - Diğer Numarataj - Bilinmeyen,,,35.415586725000026,37.48820589900001
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,714256071,AKÖREN KÜME EVLERİ (Küme Evler),210865192,2 - Mesken - Bina Ana Giriş - Yapı Kayıt Belgeli,82549742,Kullanım Amacı : Mesken - Tip : Özel - Durum : Yapı Kayıt Belgeli,35.41559556499999,37.488215787000016
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,714256071,AKÖREN KÜME EVLERİ (Küme Evler),202267910,3 - Mesken - Bina Ana Giriş - Bilinmeyen,88505061,Kullanım Amacı : Mesken - Tip : Özel - Durum : Bilinmeyen,35.41586575000002,37.488057352999974
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,714256071,AKÖREN KÜME EVLERİ (Küme Evler),386305049,3A - Mesken - Diğer Numarataj - Bilinmeyen,,,35.415422432000014,37.488060227999995
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,714256071,AKÖREN KÜME EVLERİ (Küme Evler),679585562,4 - Mesken - Bina Ana Giriş - Bilinmeyen,81715596,Kullanım Amacı : Mesken - Tip : Özel - Durum : Bilinmeyen,35.415499581999995,37.48804925000003
1,ADANA,1757,ALADAĞ,176887,AKÖREN MAHALLESİ,714256071,AKÖREN KÜME EVLERİ (Küme Evler),390130292,5 - Mesken - Bina Ana Giriş - Bilinmeyen,88505073,Kullanım Amacı : Mesken - Tip : Özel - Durum : Bilinmeyen,35.415486821,37.487592959
